0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:57 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:57 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:59 +0530] "GET /Cab_It/register/advertisement HTTP/1.1" 500 1572
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:01 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:02 +0530] "GET /Cab_It/register/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:03 +0530] "GET /Cab_It/advertisement/create.jsp HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:19 +0530] "POST /Cab_It/validation/advertisement/create-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:20 +0530] "GET /Cab_It/register/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:20 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:20 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:21 +0530] "POST /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:21 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:21 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 12700
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:23 +0530] "GET /Cab_It/update/advertisement?id=ADV_00008 HTTP/1.1" 302 -
